"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.243,954.5,25,99.28
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.52
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.237,5,25,98.72
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.243,990,25,99.28
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.878,585,100,87.795
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.647,10,75,89.52
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.807,783,100,80.64
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.963,890,100,96.24
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.846,743,100,84.48
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.837,781,100,83.68
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.824,278,93.75,88.655
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.807,174,100,80.64
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.784,163,100,78.32
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.818,380,100,81.84
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.833,424,100,83.28
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.846,492,100,84.4
